# store-stride PA xor-index contribution test
# buddy_pages=2097152 buddy_bytes=8589934592 stride_lines=5 accesses=5 train_only_accesses=4 rounds=40000 probe_positions=64
# pair condition: PA1 ^ PA2 == mask, with identical page offset
# single-bit controls cover MIN_DIFF_BIT..MAX_DIFF_BIT; pairwise xor masks cover MIN_DIFF_BIT..33
# targeted checks: triple groups should miss; pairpair cross-group masks should hit for the candidate xor hash
# trainer: PA1 + [0..3]*5*LINE_SIZE, trigger: PA2 + 20*LINE_SIZE, final: PA2 + 25*LINE_SIZE
case	latency_ns
# pair_detail	bit_15_full	va1=0x0000e1ed57f43000	pa1=0x000000016fff4000	va2=0x0000e1ed4e2e7000	pa2=0x000000016fffc000	mask=0x0000000000008000	pa_xor=0x0000000000008000
# probe_detail	bit_15_full	0	0	160	625
# probe_detail	bit_15_full	1	64	162	625
# probe_detail	bit_15_full	2	128	163	625
# probe_detail	bit_15_full	3	192	161	625
# probe_detail	bit_15_full	4	256	161	625
# probe_detail	bit_15_full	5	320	162	625
# probe_detail	bit_15_full	6	384	165	625
# probe_detail	bit_15_full	7	448	161	625
# probe_detail	bit_15_full	8	512	161	625
# probe_detail	bit_15_full	9	576	162	625
# probe_detail	bit_15_full	10	640	162	625
# probe_detail	bit_15_full	11	704	165	625
# probe_detail	bit_15_full	12	768	161	625
# probe_detail	bit_15_full	13	832	162	625
# probe_detail	bit_15_full	14	896	162	625
# probe_detail	bit_15_full	15	960	166	625
# probe_detail	bit_15_full	16	1024	161	625
# probe_detail	bit_15_full	17	1088	160	625
# probe_detail	bit_15_full	18	1152	161	625
# probe_detail	bit_15_full	19	1216	165	625
# probe_detail	bit_15_full	20	1280	31	625
# probe_detail	bit_15_full	21	1344	158	625
# probe_detail	bit_15_full	22	1408	162	625
# probe_detail	bit_15_full	23	1472	170	625
# probe_detail	bit_15_full	24	1536	162	625
# probe_detail	bit_15_full	25	1600	162	625
# probe_detail	bit_15_full	26	1664	164	625
# probe_detail	bit_15_full	27	1728	163	625
# probe_detail	bit_15_full	28	1792	160	625
# probe_detail	bit_15_full	29	1856	163	625
# probe_detail	bit_15_full	30	1920	167	625
# probe_detail	bit_15_full	31	1984	162	625
# probe_detail	bit_15_full	32	2048	164	625
# probe_detail	bit_15_full	33	2112	161	625
# probe_detail	bit_15_full	34	2176	159	625
# probe_detail	bit_15_full	35	2240	160	625
# probe_detail	bit_15_full	36	2304	164	625
# probe_detail	bit_15_full	37	2368	165	625
# probe_detail	bit_15_full	38	2432	160	625
# probe_detail	bit_15_full	39	2496	161	625
# probe_detail	bit_15_full	40	2560	160	625
# probe_detail	bit_15_full	41	2624	164	625
# probe_detail	bit_15_full	42	2688	163	625
# probe_detail	bit_15_full	43	2752	160	625
# probe_detail	bit_15_full	44	2816	165	625
# probe_detail	bit_15_full	45	2880	165	625
# probe_detail	bit_15_full	46	2944	161	625
# probe_detail	bit_15_full	47	3008	160	625
# probe_detail	bit_15_full	48	3072	164	625
# probe_detail	bit_15_full	49	3136	167	625
# probe_detail	bit_15_full	50	3200	164	625
# probe_detail	bit_15_full	51	3264	166	625
# probe_detail	bit_15_full	52	3328	165	625
# probe_detail	bit_15_full	53	3392	168	625
# probe_detail	bit_15_full	54	3456	163	625
# probe_detail	bit_15_full	55	3520	163	625
# probe_detail	bit_15_full	56	3584	163	625
# probe_detail	bit_15_full	57	3648	159	625
# probe_detail	bit_15_full	58	3712	160	625
# probe_detail	bit_15_full	59	3776	160	625
# probe_detail	bit_15_full	60	3840	163	625
# probe_detail	bit_15_full	61	3904	161	625
# probe_detail	bit_15_full	62	3968	161	625
# probe_detail	bit_15_full	63	4032	160	625
bit_15_full	162
# pair_detail	bit_16_full	va1=0x0000e1ed4ee1e000	pa1=0x00000001a93a7000	va2=0x0000e1ed2d70e000	pa2=0x00000001a93b7000	mask=0x0000000000010000	pa_xor=0x0000000000010000
# probe_detail	bit_16_full	0	0	168	625
# probe_detail	bit_16_full	1	64	162	625
# probe_detail	bit_16_full	2	128	162	625
# probe_detail	bit_16_full	3	192	162	625
# probe_detail	bit_16_full	4	256	166	625
# probe_detail	bit_16_full	5	320	163	625
# probe_detail	bit_16_full	6	384	166	625
# probe_detail	bit_16_full	7	448	163	625
# probe_detail	bit_16_full	8	512	162	625
# probe_detail	bit_16_full	9	576	166	625
# probe_detail	bit_16_full	10	640	162	625
# probe_detail	bit_16_full	11	704	161	625
# probe_detail	bit_16_full	12	768	162	625
# probe_detail	bit_16_full	13	832	166	625
# probe_detail	bit_16_full	14	896	161	625
# probe_detail	bit_16_full	15	960	163	625
# probe_detail	bit_16_full	16	1024	156	625
# probe_detail	bit_16_full	17	1088	159	625
# probe_detail	bit_16_full	18	1152	156	625
# probe_detail	bit_16_full	19	1216	155	625
# probe_detail	bit_16_full	20	1280	31	625
# probe_detail	bit_16_full	21	1344	160	625
# probe_detail	bit_16_full	22	1408	157	625
# probe_detail	bit_16_full	23	1472	155	625
# probe_detail	bit_16_full	24	1536	166	625
# probe_detail	bit_16_full	25	1600	162	625
# probe_detail	bit_16_full	26	1664	160	625
# probe_detail	bit_16_full	27	1728	161	625
# probe_detail	bit_16_full	28	1792	166	625
# probe_detail	bit_16_full	29	1856	161	625
# probe_detail	bit_16_full	30	1920	166	625
# probe_detail	bit_16_full	31	1984	162	625
# probe_detail	bit_16_full	32	2048	161	625
# probe_detail	bit_16_full	33	2112	162	625
# probe_detail	bit_16_full	34	2176	165	625
# probe_detail	bit_16_full	35	2240	162	625
# probe_detail	bit_16_full	36	2304	162	625
# probe_detail	bit_16_full	37	2368	162	625
# probe_detail	bit_16_full	38	2432	166	625
# probe_detail	bit_16_full	39	2496	163	625
# probe_detail	bit_16_full	40	2560	163	625
# probe_detail	bit_16_full	41	2624	161	625
# probe_detail	bit_16_full	42	2688	163	625
# probe_detail	bit_16_full	43	2752	165	625
# probe_detail	bit_16_full	44	2816	161	625
# probe_detail	bit_16_full	45	2880	164	625
# probe_detail	bit_16_full	46	2944	163	625
# probe_detail	bit_16_full	47	3008	166	625
# probe_detail	bit_16_full	48	3072	163	625
# probe_detail	bit_16_full	49	3136	162	625
# probe_detail	bit_16_full	50	3200	162	625
# probe_detail	bit_16_full	51	3264	165	625
# probe_detail	bit_16_full	52	3328	162	625
# probe_detail	bit_16_full	53	3392	161	625
# probe_detail	bit_16_full	54	3456	163	625
# probe_detail	bit_16_full	55	3520	166	625
# probe_detail	bit_16_full	56	3584	155	625
# probe_detail	bit_16_full	57	3648	155	625
# probe_detail	bit_16_full	58	3712	159	625
# probe_detail	bit_16_full	59	3776	159	625
# probe_detail	bit_16_full	60	3840	155	625
# probe_detail	bit_16_full	61	3904	156	625
# probe_detail	bit_16_full	62	3968	160	625
# probe_detail	bit_16_full	63	4032	160	625
bit_16_full	162
