stride_lines	stride_bytes	train_step	avg_ns
20	1280	29	161
20	1280	30	50
20	1280	31	52
20	1280	32	160
20	1280	33	48
20	1280	34	48
20	1280	35	48
20	1280	36	163
20	1280	37	49
20	1280	38	49
20	1280	39	186
21	1344	0	169
21	1344	1	196
21	1344	2	156
21	1344	3	48
21	1344	4	160
21	1344	5	47
21	1344	6	49
21	1344	7	214
21	1344	8	55
21	1344	9	56
21	1344	10	173
21	1344	11	49
21	1344	12	52
21	1344	13	200
21	1344	14	57
21	1344	15	49
21	1344	16	155
21	1344	17	125
21	1344	18	53
21	1344	19	147
21	1344	20	48
21	1344	21	52
21	1344	22	197
21	1344	23	46
21	1344	24	48
21	1344	25	159
21	1344	26	70
21	1344	27	53
21	1344	28	175
21	1344	29	48
21	1344	30	51
21	1344	31	150
21	1344	32	48
21	1344	33	48
21	1344	34	144
21	1344	35	57
21	1344	36	46
21	1344	37	134
21	1344	38	48
21	1344	39	48
22	1408	0	128
22	1408	1	173
22	1408	2	171
22	1408	3	169
22	1408	4	132
22	1408	5	58
22	1408	6	200
22	1408	7	53
22	1408	8	54
22	1408	9	214
22	1408	10	47
22	1408	11	48
22	1408	12	196
22	1408	13	48
22	1408	14	49
22	1408	15	176
22	1408	16	47
22	1408	17	56
22	1408	18	179
22	1408	19	59
22	1408	20	176
22	1408	21	141
22	1408	22	47
22	1408	23	56
22	1408	24	160
22	1408	25	48
22	1408	26	59
22	1408	27	153
22	1408	28	71
22	1408	29	50
22	1408	30	181
22	1408	31	50
22	1408	32	180
22	1408	33	60
22	1408	34	52
22	1408	35	176
22	1408	36	60
22	1408	37	48
22	1408	38	179
22	1408	39	71
23	1472	0	303
23	1472	1	218
23	1472	2	238
23	1472	3	200
23	1472	4	215
23	1472	5	58
23	1472	6	194
23	1472	7	50
23	1472	8	48
23	1472	9	182
23	1472	10	51
23	1472	11	47
23	1472	12	169
23	1472	13	91
23	1472	14	184
23	1472	15	49
23	1472	16	61
23	1472	17	199
23	1472	18	98
23	1472	19	58
23	1472	20	200
23	1472	21	50
23	1472	22	52
23	1472	23	183
23	1472	24	49
23	1472	25	84
23	1472	26	172
23	1472	27	48
23	1472	28	186
23	1472	29	47
23	1472	30	48
23	1472	31	189
23	1472	32	48
23	1472	33	104
23	1472	34	190
23	1472	35	51
23	1472	36	59
23	1472	37	192
23	1472	38	48
23	1472	39	162
24	1536	0	287
24	1536	1	216
24	1536	2	203
24	1536	3	216
24	1536	4	192
24	1536	5	218
24	1536	6	212
24	1536	7	52
24	1536	8	203
24	1536	9	54
24	1536	10	48
24	1536	11	157
24	1536	12	52
24	1536	13	65
24	1536	14	204
24	1536	15	48
24	1536	16	199
24	1536	17	58
24	1536	18	176
24	1536	19	173
24	1536	20	48
24	1536	21	50
24	1536	22	185
24	1536	23	47
24	1536	24	184
24	1536	25	49
24	1536	26	49
24	1536	27	179
24	1536	28	48
24	1536	29	51
24	1536	30	155
24	1536	31	48
24	1536	32	169
24	1536	33	48
24	1536	34	48
24	1536	35	180
24	1536	36	58
24	1536	37	48
24	1536	38	163
24	1536	39	50
25	1600	0	320
25	1600	1	228
25	1600	2	233
25	1600	3	249
25	1600	4	188
25	1600	5	49
25	1600	6	169
25	1600	7	49
25	1600	8	196
25	1600	9	58
25	1600	10	52
25	1600	11	182
25	1600	12	48
25	1600	13	196
25	1600	14	55
25	1600	15	48
25	1600	16	188
25	1600	17	55
25	1600	18	166
25	1600	19	57
25	1600	20	71
25	1600	21	186
25	1600	22	49
25	1600	23	49
25	1600	24	137
25	1600	25	55
25	1600	26	198
25	1600	27	53
25	1600	28	48
25	1600	29	156
25	1600	30	52
25	1600	31	180
25	1600	32	47
25	1600	33	87
25	1600	34	172
25	1600	35	48
25	1600	36	177
25	1600	37	48
25	1600	38	50
25	1600	39	156
26	1664	0	263
26	1664	1	219
26	1664	2	194
26	1664	3	209
26	1664	4	106
26	1664	5	206
26	1664	6	51
26	1664	7	48
26	1664	8	200
26	1664	9	50
26	1664	10	172
26	1664	11	46
26	1664	12	50
26	1664	13	193
26	1664	14	47
