stride_lines	stride_bytes	train_step	avg_ns
20	1280	9	82
20	1280	34	82
20	1280	37	81
20	1280	26	84
20	1280	25	83
20	1280	24	81
20	1280	10	85
20	1280	18	82
44	2816	17	211
44	2816	39	114
44	2816	5	87
44	2816	27	86
44	2816	35	88
44	2816	7	83
44	2816	13	172
44	2816	23	83
44	2816	31	86
44	2816	4	83
44	2816	22	88
44	2816	15	139
44	2816	11	177
44	2816	16	162
44	2816	20	144
44	2816	38	190
44	2816	33	182
44	2816	28	178
44	2816	19	209
44	2816	14	197
44	2816	30	190
44	2816	40	243
44	2816	12	169
44	2816	32	86
44	2816	1	84
44	2816	29	84
44	2816	21	85
44	2816	36	96
44	2816	8	85
44	2816	6	194
44	2816	3	214
44	2816	2	219
44	2816	9	189
44	2816	34	207
44	2816	37	188
44	2816	26	211
44	2816	25	181
44	2816	24	86
44	2816	10	141
44	2816	18	85
7	448	17	90
7	448	39	85
7	448	5	176
7	448	27	82
7	448	35	81
7	448	7	86
7	448	13	81
7	448	23	81
7	448	31	82
7	448	4	183
7	448	22	81
7	448	15	81
7	448	11	81
7	448	16	84
7	448	20	83
7	448	38	81
7	448	33	83
7	448	28	84
7	448	19	83
7	448	14	82
7	448	30	82
7	448	40	83
7	448	12	84
7	448	32	84
7	448	1	195
7	448	29	84
7	448	21	84
7	448	36	83
7	448	8	96
7	448	6	97
7	448	3	215
7	448	2	216
7	448	9	93
7	448	34	84
7	448	37	86
7	448	26	82
7	448	25	84
7	448	24	83
7	448	10	90
7	448	18	82
28	1792	17	82
28	1792	39	85
28	1792	5	86
28	1792	27	82
28	1792	35	84
28	1792	7	83
28	1792	13	82
28	1792	23	105
28	1792	31	82
28	1792	4	83
28	1792	22	82
28	1792	15	114
28	1792	11	83
28	1792	16	84
28	1792	20	83
28	1792	38	82
28	1792	33	82
28	1792	28	83
28	1792	19	84
28	1792	14	85
28	1792	30	83
28	1792	40	82
28	1792	12	84
28	1792	32	85
28	1792	1	85
28	1792	29	83
28	1792	21	84
28	1792	36	83
28	1792	8	83
28	1792	6	81
28	1792	3	85
28	1792	2	84
28	1792	9	82
28	1792	34	81
28	1792	37	84
28	1792	26	84
28	1792	25	81
28	1792	24	82
28	1792	10	83
28	1792	18	81
18	1152	17	98
18	1152	39	86
18	1152	5	207
18	1152	27	85
18	1152	35	81
18	1152	7	82
18	1152	13	81
18	1152	23	82
18	1152	31	82
18	1152	4	86
18	1152	22	83
18	1152	15	82
18	1152	11	86
18	1152	16	87
18	1152	20	82
18	1152	38	82
18	1152	33	83
18	1152	28	82
18	1152	19	82
18	1152	14	83
18	1152	30	82
18	1152	40	84
18	1152	12	82
18	1152	32	84
18	1152	1	84
18	1152	29	83
18	1152	21	81
18	1152	36	85
18	1152	8	88
18	1152	6	99
18	1152	3	208
18	1152	2	170
18	1152	9	82
18	1152	34	82
18	1152	37	82
18	1152	26	82
18	1152	25	84
18	1152	24	82
18	1152	10	82
18	1152	18	83
47	3008	17	242
47	3008	39	213
47	3008	5	176
47	3008	27	186
47	3008	35	179
47	3008	7	196
47	3008	13	177
47	3008	23	193
47	3008	31	166
47	3008	4	173
47	3008	22	169
47	3008	15	172
47	3008	11	198
47	3008	16	224
47	3008	20	227
47	3008	38	177
47	3008	33	177
47	3008	28	173
47	3008	19	175
47	3008	14	172
47	3008	30	172
