stride_lines	stride_bytes	train_step	avg_ns
17	1088	31	86
17	1088	32	86
17	1088	33	87
17	1088	34	84
17	1088	35	83
17	1088	36	83
17	1088	37	85
17	1088	38	86
17	1088	39	84
18	1152	0	238
18	1152	1	247
18	1152	2	243
18	1152	3	92
18	1152	4	87
18	1152	5	89
18	1152	6	90
18	1152	7	90
18	1152	8	193
18	1152	9	92
18	1152	10	93
18	1152	11	96
18	1152	12	85
18	1152	13	90
18	1152	14	135
18	1152	15	86
18	1152	16	132
18	1152	17	242
18	1152	18	96
18	1152	19	96
18	1152	20	97
18	1152	21	92
18	1152	22	99
18	1152	23	96
18	1152	24	86
18	1152	25	93
18	1152	26	104
18	1152	27	87
18	1152	28	84
18	1152	29	84
18	1152	30	86
18	1152	31	80
18	1152	32	91
18	1152	33	83
18	1152	34	86
18	1152	35	83
18	1152	36	89
18	1152	37	81
18	1152	38	83
18	1152	39	83
19	1216	0	240
19	1216	1	238
19	1216	2	247
19	1216	3	230
19	1216	4	234
19	1216	5	180
19	1216	6	161
19	1216	7	240
19	1216	8	225
19	1216	9	216
19	1216	10	179
19	1216	11	182
19	1216	12	116
19	1216	13	193
19	1216	14	93
19	1216	15	134
19	1216	16	87
19	1216	17	243
19	1216	18	93
19	1216	19	85
19	1216	20	126
19	1216	21	129
19	1216	22	117
19	1216	23	96
19	1216	24	89
19	1216	25	92
19	1216	26	88
19	1216	27	94
19	1216	28	213
19	1216	29	80
19	1216	30	83
19	1216	31	89
19	1216	32	80
19	1216	33	83
19	1216	34	82
19	1216	35	87
19	1216	36	83
19	1216	37	83
19	1216	38	86
19	1216	39	86
20	1280	0	243
20	1280	1	243
20	1280	2	234
20	1280	3	230
20	1280	4	139
20	1280	5	86
20	1280	6	96
20	1280	7	95
20	1280	8	86
20	1280	9	86
20	1280	10	91
20	1280	11	93
20	1280	12	90
20	1280	13	86
20	1280	14	90
20	1280	15	85
20	1280	16	141
20	1280	17	86
20	1280	18	96
20	1280	19	110
20	1280	20	92
20	1280	21	93
20	1280	22	122
20	1280	23	85
20	1280	24	86
20	1280	25	90
20	1280	26	109
20	1280	27	89
20	1280	28	92
20	1280	29	105
20	1280	30	91
20	1280	31	160
20	1280	32	83
20	1280	33	86
20	1280	34	81
20	1280	35	84
20	1280	36	89
20	1280	37	85
20	1280	38	83
20	1280	39	86
21	1344	0	236
21	1344	1	240
21	1344	2	228
21	1344	3	91
21	1344	4	91
21	1344	5	93
21	1344	6	100
21	1344	7	94
21	1344	8	92
21	1344	9	84
21	1344	10	93
21	1344	11	94
21	1344	12	93
21	1344	13	94
21	1344	14	87
21	1344	15	90
21	1344	16	93
21	1344	17	92
21	1344	18	90
21	1344	19	230
21	1344	20	233
21	1344	21	92
21	1344	22	92
21	1344	23	93
21	1344	24	93
21	1344	25	103
21	1344	26	93
21	1344	27	109
21	1344	28	88
21	1344	29	98
21	1344	30	83
21	1344	31	85
21	1344	32	83
21	1344	33	82
21	1344	34	86
21	1344	35	90
21	1344	36	89
21	1344	37	89
21	1344	38	93
21	1344	39	105
22	1408	0	243
22	1408	1	244
22	1408	2	236
22	1408	3	103
22	1408	4	94
22	1408	5	90
22	1408	6	93
22	1408	7	85
22	1408	8	95
22	1408	9	90
22	1408	10	93
22	1408	11	88
22	1408	12	88
22	1408	13	93
22	1408	14	91
22	1408	15	146
22	1408	16	133
22	1408	17	95
22	1408	18	114
22	1408	19	93
22	1408	20	96
22	1408	21	96
22	1408	22	104
22	1408	23	120
22	1408	24	104
22	1408	25	86
22	1408	26	202
22	1408	27	91
22	1408	28	90
22	1408	29	83
22	1408	30	86
22	1408	31	87
22	1408	32	87
22	1408	33	84
22	1408	34	81
22	1408	35	82
22	1408	36	86
22	1408	37	84
22	1408	38	80
22	1408	39	86
23	1472	0	236
23	1472	1	245
23	1472	2	233
23	1472	3	103
23	1472	4	87
23	1472	5	85
23	1472	6	94
23	1472	7	93
23	1472	8	89
23	1472	9	98
23	1472	10	86
23	1472	11	96
23	1472	12	94
23	1472	13	92
23	1472	14	95
23	1472	15	90
23	1472	16	136
23	1472	17	91
23	1472	18	90
23	1472	19	242
23	1472	20	126
23	1472	21	125
23	1472	22	219
23	1472	23	92
23	1472	24	91
23	1472	25	89
23	1472	26	100
23	1472	27	88
23	1472	28	89
23	1472	29	86
23	1472	30	82
23	1472	31	90
23	1472	32	87
23	1472	33	83
23	1472	34	89
23	1472	35	82
23	1472	36	82
23	1472	37	88
23	1472	38	86
23	1472	39	86
24	1536	0	237
24	1536	1	231
24	1536	2	243
24	1536	3	130
24	1536	4	91
24	1536	5	93
24	1536	6	122
24	1536	7	227
24	1536	8	95
24	1536	9	89
24	1536	10	89
24	1536	11	86
24	1536	12	89
24	1536	13	94
24	1536	14	90
24	1536	15	87
24	1536	16	97
24	1536	17	93
24	1536	18	90
24	1536	19	90
24	1536	20	102
24	1536	21	98
24	1536	22	90
24	1536	23	105
24	1536	24	94
24	1536	25	106
24	1536	26	92
24	1536	27	88
24	1536	28	93
24	1536	29	85
24	1536	30	87
24	1536	31	86
24	1536	32	86
24	1536	33	81
24	1536	34	83
24	1536	35	84
24	1536	36	82
24	1536	37	84
24	1536	38	86
24	1536	39	83
25	1600	0	237
25	1600	1	230
25	1600	2	238
25	1600	3	231
25	1600	4	113
25	1600	5	85
25	1600	6	92
25	1600	7	91
25	1600	8	173
25	1600	9	196
25	1600	10	223
25	1600	11	210
25	1600	12	140
25	1600	13	192
25	1600	14	140
25	1600	15	156
25	1600	16	93
25	1600	17	91
25	1600	18	87
25	1600	19	100
25	1600	20	88
25	1600	21	92
25	1600	22	90
25	1600	23	93
25	1600	24	110
25	1600	25	93
25	1600	26	153
25	1600	27	117
25	1600	28	105
25	1600	29	86
25	1600	30	85
25	1600	31	88
25	1600	32	80
25	1600	33	82
